symbol,company_name,sector_33,market_category,scale_category,is_financial,low_liquidity_candidate,include_for_collection,priority_score
1301,極洋,水産・農林業,プライム（内国株式）,TOPIX Small 1,0,1,1,11301
1332,ニッスイ,水産・農林業,プライム（内国株式）,TOPIX Mid400,0,0,1,11332
1333,Ｕｍｉｏｓ,水産・農林業,プライム（内国株式）,TOPIX Mid400,0,0,1,11333
1375,ユキグニファクトリー,水産・農林業,プライム（内国株式）,TOPIX Small 2,0,1,1,11375
1377,サカタのタネ,水産・農林業,プライム（内国株式）,TOPIX Small 1,0,1,1,11377
1379,ホクト,水産・農林業,プライム（内国株式）,TOPIX Small 2,0,1,1,11379
1414,ショーボンドホールディングス,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11414
1417,ミライト・ワン,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11417
1419,タマホーム,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11419
1429,日本アクア,建設業,プライム（内国株式）,-,0,0,1,11429
1433,ベステラ,建設業,プライム（内国株式）,-,0,0,1,11433
1515,日鉄鉱業,鉱業,プライム（内国株式）,TOPIX Small 1,0,1,1,11515
1518,三井松島ホールディングス,その他製品,プライム（内国株式）,TOPIX Small 1,0,1,1,11518
1605,ＩＮＰＥＸ,鉱業,プライム（内国株式）,TOPIX Mid400,0,0,1,11605
1662,石油資源開発,鉱業,プライム（内国株式）,TOPIX Small 1,0,1,1,11662
1663,Ｋ＆Ｏエナジーグループ,鉱業,プライム（内国株式）,TOPIX Small 1,0,1,1,11663
1719,安藤・間,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11719
1720,東急建設,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11720
1721,コムシスホールディングス,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11721
1726,ビーアールホールディングス,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11726
1762,高松コンストラクショングループ,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11762
1766,東建コーポレーション,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11766
1780,ヤマウラ,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11780
1786,オリエンタル白石,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11786
1801,大成建設,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11801
1802,大林組,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11802
1803,清水建設,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11803
1808,長谷工コーポレーション,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11808
1812,鹿島建設,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11812
1813,不動テトラ,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11813
1814,大末建設,建設業,プライム（内国株式）,-,0,0,1,11814
1815,鉄建建設,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11815
1820,西松建設,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11820
1833,奥村組,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11833
1835,東鉄工業,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11835
1852,淺沼組,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11852
1860,戸田建設,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11860
1861,熊谷組,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11861
1870,矢作建設工業,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11870
1871,ピーエス・コンストラクション,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11871
1873,日本ハウスホールディングス,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11873
1878,大東建託,不動産業,プライム（内国株式）,TOPIX Mid400,0,0,1,11878
1879,新日本建設,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11879
1882,東亜道路工業,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11882
1885,東亜建設工業,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11885
1887,日本国土開発,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11887
1888,若築建設,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11888
1893,五洋建設,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11893
1898,世紀東急工業,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11898
1899,福田組,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11899
1911,住友林業,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11911
1925,大和ハウス工業,建設業,プライム（内国株式）,TOPIX Large70,0,0,1,11925
1926,ライト工業,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11926
1928,積水ハウス,建設業,プライム（内国株式）,TOPIX Large70,0,0,1,11928
1929,日特建設,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11929
1930,北陸電気工事,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11930
1934,ユアテック,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11934
1938,日本リーテック,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11938
1939,四電工,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11939
1941,中電工,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11941
1942,関電工,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11942
1944,きんでん,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11944
1945,東京エネシス,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11945
1946,トーエネック,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11946
1950,日本電設工業,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11950
1951,エクシオグループ,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11951
1952,新日本空調,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11952
1959,クラフティア,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11959
1961,三機工業,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11961
1963,日揮ホールディングス,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11963
1964,中外炉工業,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11964
1968,太平電業,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11968
1969,高砂熱学工業,建設業,プライム（内国株式）,TOPIX Mid400,0,0,1,11969
1975,朝日工業社,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11975
1976,明星工業,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11976
1979,大氣社,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11979
1980,ダイダン,建設業,プライム（内国株式）,TOPIX Small 1,0,1,1,11980
1982,日比谷総合設備,建設業,プライム（内国株式）,TOPIX Small 2,0,1,1,11982
2001,ニップン,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12001
2002,日清製粉グループ本社,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12002
2004,昭和産業,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12004
2053,中部飼料,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12053
2060,フィード・ワン,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12060
2108,日本甜菜製糖,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12108
2109,ＤＭ三井製糖,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12109
2117,ウェルネオシュガー,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12117
2120,ＬＩＦＵＬＬ,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12120
2121,ＭＩＸＩ,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,12121
2124,ジェイエイシーリクルートメント,サービス業,プライム（内国株式）,TOPIX Small 1,0,1,1,12124
2127,日本Ｍ＆Ａセンターホールディングス,サービス業,プライム（内国株式）,TOPIX Mid400,0,0,1,12127
2130,メンバーズ,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12130
2146,ＵＴグループ,サービス業,プライム（内国株式）,TOPIX Small 1,0,1,1,12146
2148,アイティメディア,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12148
2153,Ｅ・Ｊホールディングス,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12153
2154,オープンアップグループ,サービス業,プライム（内国株式）,TOPIX Small 1,0,1,1,12154
2157,コシダカホールディングス,サービス業,プライム（内国株式）,TOPIX Small 1,0,1,1,12157
2163,アルトナー,サービス業,プライム（内国株式）,-,0,0,1,12163
2168,パソナグループ,サービス業,プライム（内国株式）,TOPIX Small 1,0,1,1,12168
2170,リンクアンドモチベーション,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12170
2175,エス・エム・エス,サービス業,プライム（内国株式）,TOPIX Small 1,0,1,1,12175
2181,パーソルホールディングス,サービス業,プライム（内国株式）,TOPIX Mid400,0,0,1,12181
2198,アイ・ケイ・ケイホールディングス,サービス業,プライム（内国株式）,-,0,0,1,12198
2201,森永製菓,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12201
2206,江崎グリコ,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12206
2207,ｍｅｉｔｏ,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12207
2209,井村屋グループ,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12209
2211,不二家,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12211
2212,山崎製パン,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12212
2217,モロゾフ,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12217
2220,亀田製菓,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12220
2222,寿スピリッツ,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12222
2229,カルビー,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12229
2264,森永乳業,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12264
2266,六甲バター,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12266
2267,ヤクルト本社,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12267
2269,明治ホールディングス,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12269
2270,雪印メグミルク,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12270
2281,プリマハム,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12281
2282,日本ハム,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12282
2288,丸大食品,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12288
2292,Ｓ　Ｆｏｏｄｓ,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12292
2294,柿安本店,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12294
2296,伊藤ハム米久ホールディングス,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12296
2301,学情,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12301
2307,クロスキャット,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,12307
2317,システナ,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,12317
2325,ＮＪＳ,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12325
2326,デジタルアーツ,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,12326
2327,日鉄ソリューションズ,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,12327
2331,ＡＬＳＯＫ,サービス業,プライム（内国株式）,TOPIX Mid400,0,0,1,12331
2335,キューブシステム,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,12335
2337,いちご,不動産業,プライム（内国株式）,TOPIX Small 1,0,1,1,12337
2353,日本駐車場開発,不動産業,プライム（内国株式）,TOPIX Small 1,0,1,1,12353
2359,コア,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,12359
2371,カカクコム,サービス業,プライム（内国株式）,TOPIX Mid400,0,0,1,12371
2378,ルネサンス,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12378
2379,ディップ,サービス業,プライム（内国株式）,TOPIX Small 1,0,1,1,12379
2384,ＳＢＳホールディングス,陸運業,プライム（内国株式）,TOPIX Small 1,0,1,1,12384
2395,新日本科学,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12395
2410,キャリアデザインセンター,サービス業,プライム（内国株式）,-,0,0,1,12410
2413,エムスリー,サービス業,プライム（内国株式）,TOPIX Mid400,0,0,1,12413
2429,ワールドホールディングス,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12429
2432,ディー・エヌ・エー,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,12432
2433,博報堂ＤＹホールディングス,サービス業,プライム（内国株式）,TOPIX Mid400,0,0,1,12433
2461,ファンコミュニケーションズ,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12461
2462,ライク,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12462
2471,エスプール,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12471
2475,ＷＤＢホールディングス,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12475
2491,バリューコマース,サービス業,プライム（内国株式）,TOPIX Small 2,0,1,1,12491
2492,インフォマート,サービス業,プライム（内国株式）,TOPIX Small 1,0,1,1,12492
2501,サッポロホールディングス,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12501
2502,アサヒグループホールディングス,食料品,プライム（内国株式）,TOPIX Large70,0,0,1,12502
2503,キリンホールディングス,食料品,プライム（内国株式）,TOPIX Large70,0,0,1,12503
2531,宝ホールディングス,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12531
2533,オエノンホールディングス,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12533
2540,養命酒製造,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12540
2579,コカ・コーラ　ボトラーズジャパンホールディングス,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12579
2585,ライフドリンク　カンパニー,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12585
2587,サントリー食品インターナショナル,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12587
2590,ダイドーグループホールディングス,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12590
2593,伊藤園,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12593
2594,キーコーヒー,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12594
2602,日清オイリオグループ,食料品,プライム（内国株式）,TOPIX Small 1,0,1,1,12602
2607,不二製油,食料品,プライム（内国株式）,TOPIX Mid400,0,0,1,12607
2613,Ｊ－オイルミルズ,食料品,プライム（内国株式）,TOPIX Small 2,0,1,1,12613
2659,サンエー,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,12659
2664,カワチ薬品,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,12664
2670,エービーシー・マート,小売業,プライム（内国株式）,TOPIX Mid400,0,0,1,12670
2674,ハードオフコーポレーション,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,12674
2676,高千穂交易,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,12676
2678,アスクル,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,12678
2681,ゲオホールディングス,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,12681
2685,アンドエスティＨＤ,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,12685
2692,伊藤忠食品,卸売業,プライム（内国株式）,TOPIX Small 2,0,1,1,12692
2695,くら寿司,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,12695
2726,パルグループホールディングス,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,12726
2730,エディオン,小売業,プライム（内国株式）,TOPIX Small 1,0,1,1,12730
2733,あらた,卸売業,プライム（内国株式）,TOPIX Small 1,0,1,1,12733
2734,サーラコーポレーション,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,12734
